name,clubCode,position,tierLabel,ffpl_pgw,ffpl_season,season_points,likely_starter,starts,penalties_order,direct_freekicks_order,corners_and_indirect_freekicks_order,status,flags
Senesi,TOT,DEF,3,5.22,188.04,3.0,True,37.0,,,,a,NEW-CLUB
Tarkowski,EVE,DEF,2,4.83,173.74,6.0,True,37.0,,,,a,
Thiaw,NEW,DEF,2,4.73,170.18,3.0,True,33.0,,,,a,
Garner,EVE,MID,2,4.7,169.27,1.0,True,38.0,3.0,1.0,1.0,a,
Van Hecke,TOT,DEF,3,4.56,163.98,1.0,True,36.0,,,,a,NEW-CLUB
E.Le Fée,SUN,MID,2,4.46,160.5,2.0,True,33.0,2.0,2.0,1.0,a,
Ampadu,LEE,MID,2,4.41,158.87,5.0,True,35.0,,,,a,
Dubravka,TOT,GK,3,4.36,157.01,0.0,False,35.0,,,,a,"NEW-CLUB, GK-RISK"
Verbruggen,BHA,GK,2,4.32,155.57,6.0,True,38.0,,,,a,
Roefs,SUN,GK,2,4.3,154.99,1.0,True,35.0,,,,a,
Henderson,CRY,GK,3,4.3,154.89,2.0,True,37.0,,,,a,
Truffert,BOU,DEF,1,4.3,154.89,1.0,True,38.0,,,,a,
Wilson,LEE,MID,2,4.24,152.49,3.0,True,32.0,,,2.0,a,NEW-CLUB
Anderson,MCI,MID,1,4.22,152.06,2.0,True,37.0,,,2.0,a,NEW-CLUB
Leno,FUL,GK,2,4.22,151.98,2.0,True,38.0,,,,a,
Pickford,EVE,GK,2,4.21,151.55,7.0,True,38.0,,,,a,
Richards,CRY,DEF,3,4.16,149.7,3.0,True,31.0,,,,a,
Mukiele,SUN,DEF,2,4.16,149.64,0.0,True,32.0,,,,a,
Fernandes,TOT,MID,3,4.15,149.52,1.0,True,35.0,,,,a,NEW-CLUB
Guéhi,MCI,DEF,1,4.1,147.57,10.0,True,35.0,,,,a,
Mitchell,CRY,DEF,3,4.09,147.23,1.0,True,36.0,,,,a,
Struijk,BHA,DEF,2,4.08,146.9,0.0,True,33.0,,,,a,NEW-CLUB
Andersen,FUL,DEF,2,4.06,146.24,0.0,True,33.0,,,,a,
Collins,BRE,DEF,2,4.05,145.85,6.0,True,32.0,,,,a,
Rodon,LEE,DEF,2,4.02,144.76,6.0,True,33.0,,,,a,
Alderete,SUN,DEF,2,3.99,143.55,1.0,True,32.0,,,,a,
Scott,BOU,MID,1,3.98,143.44,2.0,True,34.0,,4.0,2.0,a,
Petrović,BOU,GK,1,3.98,143.28,2.0,True,38.0,,,,a,
Keane,EVE,DEF,2,3.94,141.68,0.0,True,29.0,,,,a,
Xhaka,SUN,MID,2,3.9,140.34,9.0,True,32.0,,1.0,2.0,a,
Milenković,NFO,DEF,3,3.86,139.0,2.0,True,37.0,,,,a,
F.Kadıoğlu,BHA,DEF,2,3.75,134.92,0.0,True,34.0,,,3.0,a,
Van den Berg,BRE,DEF,2,3.72,133.91,0.0,False,30.0,,,,i,
Van de Ven,TOT,DEF,3,3.71,133.44,0.0,True,35.0,,,,a,
Kayode,BRE,DEF,2,3.65,131.28,13.0,True,37.0,,,,a,
Hume,SUN,DEF,2,3.63,130.62,2.0,True,34.0,,,3.0,a,
Wharton,CRY,MID,3,3.59,129.35,4.0,True,29.0,,,1.0,a,
Mateta,CRY,FWD,3,3.58,128.69,2.0,False,25.0,1.0,,,a,PEN
Anthony,BRE,MID,2,3.56,128.04,1.0,True,32.0,,,,a,NEW-CLUB
O'Brien,EVE,DEF,2,3.56,128.02,0.0,True,35.0,,,,a,
O.Dango,BRE,MID,2,3.53,127.01,3.0,False,25.0,,,2.0,a,
Muñoz,NFO,DEF,3,3.53,126.92,0.0,True,29.0,,,,a,MOVED-DEADLINE
Bogle,LEE,DEF,2,3.49,125.64,6.0,True,32.0,,,,a,
Aaronson,LEE,MID,2,3.46,124.69,3.0,True,30.0,,3.0,,a,
Sels,NFO,GK,3,3.46,124.56,2.0,True,30.0,,,,a,
Dunk,BHA,DEF,2,3.46,124.5,6.0,True,31.0,,3.0,,a,
Pope,NEW,GK,2,3.42,123.25,0.0,True,27.0,,,,a,
Ballard,SUN,DEF,2,3.42,123.11,0.0,False,24.0,,,,a,
Sánchez,CHE,GK,2,3.41,122.76,2.0,True,35.0,,,,a,
Mykolenko,EVE,DEF,2,3.35,120.61,6.0,True,33.0,,,,a,
J.Timber,ARS,DEF,1,3.34,120.1,0.0,False,28.0,,,,i,
Matheus N.,MCI,DEF,1,3.33,119.78,1.0,False,32.0,5.0,,,d,DOUBT-75%
Gravenberch,LIV,MID,1,3.27,117.64,5.0,True,34.0,,,,a,
Berge,FUL,MID,2,3.26,117.36,2.0,True,34.0,,,,a,
Minteh,BHA,MID,2,3.26,117.38,0.0,False,26.0,,,5.0,i,
Saliba,ARS,DEF,1,3.26,117.25,0.0,False,30.0,,,,i,
Martinez,CHE,GK,2,3.24,116.8,0.0,True,32.0,,,,a,MOVED-DEADLINE
Yarmoliuk,BRE,MID,2,3.22,115.79,1.0,True,30.0,,,,a,
Bassey,FUL,DEF,2,3.21,115.61,0.0,True,28.0,,,,a,
Gudmundsson,LEE,DEF,2,3.21,115.56,0.0,False,31.0,,,,i,
Florentino,IPS,MID,3,3.21,115.57,0.0,False,25.0,,,,d,"NEW-CLUB, DOUBT-75%"
Caicedo,CHE,MID,2,3.2,115.09,0.0,False,32.0,,,,d,DOUBT-75%
